comuna;candidato;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;orden;mesas_porcentaje;partido;sector
HUECHURABA;Eduardo Antonio Artés Brichetti;147;0,00638769391213662;23013;66;203;6;0,3251231527093596;Ninguno;Ninguno
HUECHURABA;Evelyn Matthei Fornet;5051;0,21948463911702082;23013;66;203;7;0,3251231527093596;Ninguno;Ninguno
HUECHURABA;Harold Mayne-Nicholls Secul;386;0,01677312823186894;23013;66;203;8;0,3251231527093596;Ninguno;Ninguno
HUECHURABA;Nulo/Blanco;543;0,02359535914483118;23013;66;203;99;0,3251231527093596;Ninguno;Ninguno
INDEPENDENCIA;Franco Parisi Fernández;1880;0,12145487434588798;15479;54;235;1;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;Jeannette Jara Román;4425;0,28587118030880548;15479;54;235;2;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;Marco Antonio Enríquez-Ominami Gumucio;148;0,00956134117191033;15479;54;235;3;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;Johannes Kaiser Barents-Von Hohenhagen;2023;0,13069319723496350;15479;54;235;4;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;José Antonio Kast Rist;3141;0,20292008527682667;15479;54;235;5;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;Eduardo Antonio Artés Brichetti;120;0,00775243878803540;15479;54;235;6;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;Evelyn Matthei Fornet;2950;0,19058078687253699;15479;54;235;7;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;Harold Mayne-Nicholls Secul;213;0,01376057884876284;15479;54;235;8;0,2297872340425532;Ninguno;Ninguno
INDEPENDENCIA;Nulo/Blanco;579;0,03740551715227082;15479;54;235;99;0,2297872340425532;Ninguno;Ninguno
ISLA DE MAIPO;Franco Parisi Fernández;1383;0,18788208123896211;7361;21;80;1;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;Jeannette Jara Román;1896;0,25757369922564871;7361;21;80;2;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;Marco Antonio Enríquez-Ominami Gumucio;85;0,01154734411085450;7361;21;80;3;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;Johannes Kaiser Barents-Von Hohenhagen;1007;0,13680206493682923;7361;21;80;4;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;José Antonio Kast Rist;1795;0,24385273739980981;7361;21;80;5;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;Eduardo Antonio Artés Brichetti;43;0,00584159760902051;7361;21;80;6;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;Evelyn Matthei Fornet;834;0,11329982339356066;7361;21;80;7;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;Harold Mayne-Nicholls Secul;87;0,01181904632522755;7361;21;80;8;0,2625000000000000;Ninguno;Ninguno
ISLA DE MAIPO;Nulo/Blanco;231;0,03138160576008694;7361;21;80;99;0,2625000000000000;Ninguno;Ninguno
LA CISTERNA;Franco Parisi Fernández;1820;0,11300838248990996;16105;49;210;1;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;Jeannette Jara Román;5119;0,31785159888233466;16105;49;210;2;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;Marco Antonio Enríquez-Ominami Gumucio;198;0,01229431853461658;16105;49;210;3;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;Johannes Kaiser Barents-Von Hohenhagen;2326;0,14442719652281899;16105;49;210;4;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;José Antonio Kast Rist;3317;0,20596088171375349;16105;49;210;5;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;Eduardo Antonio Artés Brichetti;120;0,00745110214219187;16105;49;210;6;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;Evelyn Matthei Fornet;2433;0,15107109593294007;16105;49;210;7;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;Harold Mayne-Nicholls Secul;245;0,01521266687364173;16105;49;210;8;0,2333333333333333;Ninguno;Ninguno
LA CISTERNA;Nulo/Blanco;527;0,03272275690779261;16105;49;210;99;0,2333333333333333;Ninguno;Ninguno
LA FLORIDA;Franco Parisi Fernández;6596;0,10894376083904533;60545;175;796;1;0,2198492462311558;Ninguno;Ninguno
LA FLORIDA;Jeannette Jara Román;20531;0,33910314642001815;60545;175;796;2;0,2198492462311558;Ninguno;Ninguno
LA FLORIDA;Marco Antonio Enríquez-Ominami Gumucio;674;0,01113221570732513;60545;175;796;3;0,2198492462311558;Ninguno;Ninguno
LA FLORIDA;Johannes Kaiser Barents-Von Hohenhagen;7441;0,12290032207449005;60545;175;796;4;0,2198492462311558;Ninguno;Ninguno
LA FLORIDA;José Antonio Kast Rist;11901;0,19656453877281360;60545;175;796;5;0,2198492462311558;Ninguno;Ninguno
LA FLORIDA;Eduardo Antonio Artés Brichetti;591;0,00976133454455364;60545;175;796;6;0,2198492462311558;Ninguno;Ninguno
