comuna;candidato;partido;sector;lista;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;mesas_porcentaje
PEÑAFLOR;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;27354;0,4105789291986251;66623;194;194;1,000000000000000
PEÑAFLOR;Nulo/Blanco;;Otros;NA;5034;0,0755594914669108;66623;194;194;1,000000000000000
PEÑALOLEN;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;96446;0,5992705310707783;160939;477;483;0,987577639751553
PEÑALOLEN;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;54602;0,3392714009655832;160939;477;483;0,987577639751553
PEÑALOLEN;Nulo/Blanco;;Otros;NA;9891;0,0614580679636384;160939;477;483;0,987577639751553
PIRQUE;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;11662;0,5206250000000000;22400;64;64;1,000000000000000
PIRQUE;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;9297;0,4150446428571429;22400;64;64;1,000000000000000
PIRQUE;Nulo/Blanco;;Otros;NA;1441;0,0643303571428571;22400;64;64;1,000000000000000
PROVIDENCIA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;57887;0,4975974143192388;116333;429;430;0,997674418604651
PROVIDENCIA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;52708;0,4530786621165104;116333;429;430;0,997674418604651
PROVIDENCIA;Nulo/Blanco;;Otros;NA;5738;0,0493239235642509;116333;429;430;0,997674418604651
PUDAHUEL;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;82352;0,5431365953714147;151623;447;448;0,997767857142857
PUDAHUEL;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;56171;0,3704649030819863;151623;447;448;0,997767857142857
PUDAHUEL;Nulo/Blanco;;Otros;NA;13100;0,0863985015465991;151623;447;448;0,997767857142857
