comuna;candidato;partido;lista;sector;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;mesas_porcentaje
ALGARROBO;Marco Antonio Gonzalez Candia;RN;Z - CHILE VAMOS;Derecha;4250;0,27588445309964299;15405;46;46;1,000000000000000
ALGARROBO;Veronica Maricel Cueto Cueto;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2905;0,18857513794222655;15405;46;46;1,000000000000000
ALGARROBO;Marcela Maritza Mansilla Potocnjak;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2677;0,17377474845829277;15405;46;46;1,000000000000000
ALGARROBO;Alejandro Felipe Ricotti Sepulveda;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2425;0,15741642323920804;15405;46;46;1,000000000000000
ALGARROBO;Carlos Orlando Tapia Aviles;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1089;0,07069133398247322;15405;46;46;1,000000000000000
ALGARROBO;Maria Luisa Hamilton Velasco;IND;CANDIDATURAS INDEPENDIENTES;Independiente;365;0,02369360597208698;15405;46;46;1,000000000000000
ALGARROBO;Gaston Dubournais Riveros;IND;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Independiente;332;0,02155144433625446;15405;46;46;1,000000000000000
ALGARROBO;Nulo/Blanco;;NA;Otros;1362;0,08841285296981499;15405;46;46;1,000000000000000
ALHUE;Marcela Chamorro Macias;IND;H - CONTIGO CHILE MEJOR;Izquierda;3490;0,59750042800890257;5841;17;17;1,000000000000000
ALHUE;Jose Andres Arellano Blanco;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1828;0,31296010957027909;5841;17;17;1,000000000000000
ALHUE;Andrea Elizabeth Galvez Sepulveda;REP;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;172;0,02944701249785996;5841;17;17;1,000000000000000
ALHUE;Patricio Bastias Gonzalez;IND;Z - CHILE VAMOS;Derecha;109;0,01866118815271358;5841;17;17;1,000000000000000
ALHUE;Nulo/Blanco;;NA;Otros;242;0,04143126177024482;5841;17;17;1,000000000000000
ALTO BIOBIO;Felix Segundo Vita Manquepi;IND;H - CONTIGO CHILE MEJOR;Izquierda;2126;0,41825693488097582;5083;17;17;1,000000000000000
ALTO BIOBIO;Maria Cristina Medina Castro;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1530;0,30100334448160537;5083;17;17;1,000000000000000
ALTO BIOBIO;Andres Puelma Huenchucan;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1052;0,20696439110761361;5083;17;17;1,000000000000000
ALTO BIOBIO;Miriam Curriao Espuñan;IND;CANDIDATURAS INDEPENDIENTES;Independiente;194;0,03816643714341924;5083;17;17;1,000000000000000
ALTO BIOBIO;Nulo/Blanco;;NA;Otros;181;0,03560889238638600;5083;17;17;1,000000000000000
ALTO DEL CARMEN;Cristian Didy Olivares Iriarte;PR;H - CONTIGO CHILE MEJOR;Izquierda;2077;0,48596162845109969;4274;14;14;1,000000000000000
ALTO DEL CARMEN;Juan Emilio Pallauta Rojas;IND;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;926;0,21665886757136171;4274;14;14;1,000000000000000
ALTO DEL CARMEN;Raul Ardiles Ramirez;IND;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Independiente;652;0,15255030416471690;4274;14;14;1,000000000000000
ALTO DEL CARMEN;Cecilia Angelica Anacona Garate;IND;CANDIDATURAS INDEPENDIENTES;Independiente;212;0,04960224613944782;4274;14;14;1,000000000000000
ALTO DEL CARMEN;Iván Alberto Flores Villalobos;PDG;P - PARTIDO DE LA GENTE E INDEPENDIENTES;Derecha;152;0,03556387459054750;4274;14;14;1,000000000000000
ALTO DEL CARMEN;Nulo/Blanco;;NA;Otros;255;0,05966307908282639;4274;14;14;1,000000000000000
ALTO HOSPICIO;Patricio Elias Ferreira Rivera;PDC;H - CONTIGO CHILE MEJOR;Centro;20946;0,36478578892371993;57420;179;179;1,000000000000000
ALTO HOSPICIO;Ramon Galleguillos Castillo;RN;Z - CHILE VAMOS;Derecha;18557;0,32318007662835246;57420;179;179;1,000000000000000
ALTO HOSPICIO;Fernando Ortega Ortega;PSC;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Derecha;5837;0,10165447579240683;57420;179;179;1,000000000000000
ALTO HOSPICIO;Tanya Jacqueline Precilla Cruz;IND;CANDIDATURAS INDEPENDIENTES;Independiente;5773;0,10053988157436433;57420;179;179;1,000000000000000
ALTO HOSPICIO;Nulo/Blanco;;NA;Otros;6307;0,10983977708115639;57420;179;179;1,000000000000000
ANCUD;Andres Antonio Ojeda Care;IND;CANDIDATURAS INDEPENDIENTES;Independiente;13670;0,42263100942958726;32345;101;101;1,000000000000000
ANCUD;Carlos Gustavo Seitz Aspee;REP;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;7219;0,22318750966146236;32345;101;101;1,000000000000000
ANCUD;Juan Elias Sanhueza Vargas;PSC;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Derecha;2432;0,07518936466223528;32345;101;101;1,000000000000000
ANCUD;Monica Pamela Maldonado Velasquez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2203;0,06810944504560210;32345;101;101;1,000000000000000
ANCUD;Eduardo Raul Alvarez Vidal;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1686;0,05212552171896738;32345;101;101;1,000000000000000
ANCUD;Aliro Caimapo Oyarzo;UDI;Z - CHILE VAMOS;Derecha;1202;0,03716184881743700;32345;101;101;1,000000000000000
ANCUD;Nulo/Blanco;;NA;Otros;3933;0,12159530066470861;32345;101;101;1,000000000000000
ANDACOLLO;Juan Carlos Alfaro Aravena;PS;H - CONTIGO CHILE MEJOR;Izquierda;3293;0,33062248995983934;9960;30;30;1,000000000000000
ANDACOLLO;Angela Guerra Araya;IND;Z - CHILE VAMOS;Derecha;1976;0,19839357429718876;9960;30;30;1,000000000000000
ANDACOLLO;Gerald Albert Cerda Pizarro;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1307;0,13122489959839356;9960;30;30;1,000000000000000
ANDACOLLO;Dixon Pablo Pasten Guerrero;IND;CANDIDATURAS INDEPENDIENTES;Independiente;964;0,09678714859437751;9960;30;30;1,000000000000000
ANDACOLLO;Carlos Perez Suarez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;790;0,07931726907630522;9960;30;30;1,000000000000000
ANDACOLLO;Magaly Gonzalez Lucay;IND;CANDIDATURAS INDEPENDIENTES;Independiente;718;0,07208835341365462;9960;30;30;1,000000000000000
ANDACOLLO;Mauricio Carmona Bravo;IND;CANDIDATURAS INDEPENDIENTES;Independiente;259;0,02600401606425703;9960;30;30;1,000000000000000
ANDACOLLO;Nulo/Blanco;;NA;Otros;653;0,06556224899598394;9960;30;30;1,000000000000000
ANGOL;Enrique Neira Neira;IND;Z - CHILE VAMOS;Derecha;12614;0,30972842901340669;40726;123;123;1,000000000000000
ANGOL;Victor Manoli Nazal;IND;CANDIDATURAS INDEPENDIENTES;Independiente;6486;0,15925944114325002;40726;123;123;1,000000000000000
ANGOL;Maximiliano Radonich Radonich;IND;CANDIDATURAS INDEPENDIENTES;Independiente;5390;0,13234788587143348;40726;123;123;1,000000000000000
ANGOL;Cesar Rodrigo Riquelme Oñate;IND;CANDIDATURAS INDEPENDIENTES;Independiente;4802;0,11790993468545892;40726;123;123;1,000000000000000
ANGOL;Eduardo Contreras Diaz;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2941;0,07221431026862446;40726;123;123;1,000000000000000
ANGOL;Mario Venegas Cardenas;PDC;H - CONTIGO CHILE MEJOR;Centro;2742;0,06732799685704464;40726;123;123;1,000000000000000
ANGOL;Sergio Anibal Paredes Montoya;DEMOCRATAS;R - CENTRO DEMOCRATICO;Derecha;2324;0,05706428325885184;40726;123;123;1,000000000000000
ANGOL;Nulo/Blanco;;NA;Otros;3427;0,08414771890192997;40726;123;123;1,000000000000000
ANTARTICA;Patricio Fernández Alarcon;PDC;H - CONTIGO CHILE MEJOR;Centro;13;0,19696969696969696;66;1;1;1,000000000000000
ANTARTICA;Arturo Storaker Molina;UDI;Z - CHILE VAMOS;Derecha;26;0,39393939393939392;66;1;1;1,000000000000000
ANTARTICA;Carlos Alberto Soto Anguita;IND;CANDIDATURAS INDEPENDIENTES;Independiente;15;0,22727272727272727;66;1;1;1,000000000000000
ANTARTICA;Nulo/Blanco;;NA;Otros;12;0,18181818181818182;66;1;1;1,000000000000000
ANTOFAGASTA;Sacha Razmilic Burgos;EVOPOLI;Z - CHILE VAMOS;Derecha;56649;0,22734076835713798;249181;774;774;1,000000000000000
ANTOFAGASTA;Pablo Andres Iriarte Ramirez;PCCH;H - CONTIGO CHILE MEJOR;Izquierda;41741;0,16751277184054963;249181;774;774;1,000000000000000
ANTOFAGASTA;Jonathan Velasquez Ramirez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;41291;0,16570685565913934;249181;774;774;1,000000000000000
ANTOFAGASTA;Roberto Carlos Soto Alballay;REP;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;19326;0,07755808027096769;249181;774;774;1,000000000000000
ANTOFAGASTA;Eslayne Portilla Barraza;IND;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Independiente;17320;0,06950770724894756;249181;774;774;1,000000000000000
ANTOFAGASTA;Luis Andres Aguilera Villegas;IND;CANDIDATURAS INDEPENDIENTES;Independiente;13670;0,05485972044417512;249181;774;774;1,000000000000000
ANTOFAGASTA;Daniela Beatriz Aviles Honores;IND;K - IZQUIERDA DE TRABAJADORES E INDEPENDIENTES;Independiente;9670;0,03880713216497245;249181;774;774;1,000000000000000
ANTOFAGASTA;Ricardo Vargas Valenzuela;PDG;P - PARTIDO DE LA GENTE E INDEPENDIENTES;Derecha;9087;0,03646746742327866;249181;774;774;1,000000000000000
ANTOFAGASTA;Adela Maria Pizarro Goncalvez;PH;B - IZQUIERDA ECOLOGISTA POPULAR;Izquierda;4200;0,01685521769316280;249181;774;774;1,000000000000000
ANTOFAGASTA;Nulo/Blanco;;NA;Otros;36227;0,14538427889766875;249181;774;774;1,000000000000000
ANTUCO;Sandra Bobadilla Cisterna;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1739;0,44317023445463810;3924;12;12;1,000000000000000
ANTUCO;Miguel Abuter Leon;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1595;0,40647298674821608;3924;12;12;1,000000000000000
ANTUCO;Carla Canales Pacheco;PS;H - CONTIGO CHILE MEJOR;Izquierda;404;0,10295616717635066;3924;12;12;1,000000000000000
ANTUCO;Gabriel Aquiles Gallegos Sepulveda;PDG;P - PARTIDO DE LA GENTE E INDEPENDIENTES;Derecha;48;0,01223241590214067;3924;12;12;1,000000000000000
ANTUCO;Cristhian Alexy Gonzalez Sandoval;IND;CANDIDATURAS INDEPENDIENTES;Independiente;15;0,00382262996941896;3924;12;12;1,000000000000000
ANTUCO;Nulo/Blanco;;NA;Otros;123;0,03134556574923547;3924;12;12;1,000000000000000
ARAUCO;Mauricio Alarcon Guzman;IND;Z - CHILE VAMOS;Derecha;14070;0,48270893371757922;29148;84;84;1,000000000000000
ARAUCO;Elizabeth Marican Rivas;IND;CANDIDATURAS INDEPENDIENTES;Independiente;9323;0,31985041855358859;29148;84;84;1,000000000000000
ARAUCO;Gonzalo Mauricio Gayoso Saez;PS;H - CONTIGO CHILE MEJOR;Izquierda;3577;0,12271853986551393;29148;84;84;1,000000000000000
ARAUCO;Walter Rodriguez Leal;IND;CANDIDATURAS INDEPENDIENTES;Independiente;769;0,02638259914916976;29148;84;84;1,000000000000000
ARAUCO;Nulo/Blanco;;NA;Otros;1409;0,04833950871414849;29148;84;84;1,000000000000000
ARICA;Orlando Severo Vargas Pizarro;IND;CANDIDATURAS INDEPENDIENTES;Independiente;41666;0,28153653839656745;147995;491;491;1,000000000000000
ARICA;Gerardo Espindola Rojas;PL;H - CONTIGO CHILE MEJOR;Izquierda;27079;0,18297239771613905;147995;491;491;1,000000000000000
ARICA;Stephanie Jeldrez Ortiz;REP;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;24654;0,16658670901043954;147995;491;491;1,000000000000000
ARICA;Rayko Alejandro Karmelic Pavlov;PDG;P - PARTIDO DE LA GENTE E INDEPENDIENTES;Derecha;8247;0,05572485556944491;147995;491;491;1,000000000000000
ARICA;Jose Gustavo Lee Rodriguez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;7305;0,04935977566809689;147995;491;491;1,000000000000000
ARICA;Raul Gil Gonzalez;UDI;Z - CHILE VAMOS;Derecha;6991;0,04723808236764756;147995;491;491;1,000000000000000
ARICA;Daniel Chipana Castro;IND;CANDIDATURAS INDEPENDIENTES;Independiente;4429;0,02992668671238893;147995;491;491;1,000000000000000
ARICA;Jorge Armando Guillen Olivares;IND;CANDIDATURAS INDEPENDIENTES;Independiente;4356;0,02943342680495963;147995;491;491;1,000000000000000
ARICA;Sebastián Arellano Pescetto;IND;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Independiente;2806;0,01896010000337849;147995;491;491;1,000000000000000
ARICA;Esteban Claudio Romero Mamani;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2748;0,01856819487144836;147995;491;491;1,000000000000000
ARICA;Nulo/Blanco;;NA;Otros;17714;0,11969323287948917;147995;491;491;1,000000000000000
AYSEN;Luis Martínez Gallardo;UDI;Z - CHILE VAMOS;Derecha;9295;0,54433122511126730;17076;61;61;1,000000000000000
AYSEN;Sergio Arturo Gonzalez Borquez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;3484;0,20402904661513235;17076;61;61;1,000000000000000
AYSEN;Julio Esteban Confucio Uribe Alvarado;IND;H - CONTIGO CHILE MEJOR;Izquierda;2852;0,16701803701100962;17076;61;61;1,000000000000000
AYSEN;Nulo/Blanco;;NA;Otros;1445;0,08462169126259077;17076;61;61;1,000000000000000
BUIN;Miguel Araya Lobos;UDI;Z - CHILE VAMOS;Derecha;34950;0,44575101712857268;78407;223;223;1,000000000000000
BUIN;Marcelo Alvarez Alvarez;FREVS;H - CONTIGO CHILE MEJOR;Izquierda;25911;0,33046794291326032;78407;223;223;1,000000000000000
BUIN;Carlos Enrique Caro Briso;PH;B - IZQUIERDA ECOLOGISTA POPULAR;Izquierda;4876;0,06218832502200058;78407;223;223;1,000000000000000
BUIN;Rodrigo Perez Vidal;PAVP;X - ECOLOGISTAS, ANIMALISTAS E INDEPENDIENTES;Izquierda;3952;0,05040366293825806;78407;223;223;1,000000000000000
BUIN;Nulo/Blanco;;NA;Otros;8718;0,11118905199790835;78407;223;223;1,000000000000000
BULNES;Gonzalo Bustamante Troncoso;IND;Z - CHILE VAMOS;Derecha;10486;0,55764730908317384;18804;56;56;1,000000000000000
BULNES;Guillermo Alejandro Yeber Rodriguez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;4690;0,24941501808125929;18804;56;56;1,000000000000000
BULNES;Patricio Andres Velozo Flores;PR;H - CONTIGO CHILE MEJOR;Izquierda;1437;0,07641991065730695;18804;56;56;1,000000000000000
BULNES;Juan Arevalo Rojas;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1019;0,05419059774516061;18804;56;56;1,000000000000000
BULNES;Nulo/Blanco;;NA;Otros;1172;0,06232716443309934;18804;56;56;1,000000000000000
CABILDO;Victor Donoso Oyanedel;PDC;H - CONTIGO CHILE MEJOR;Centro;6124;0,37881974514412964;16166;46;46;1,000000000000000
CABILDO;Patricio Aliaga Diaz;IND;CANDIDATURAS INDEPENDIENTES;Independiente;6043;0,37380922924656684;16166;46;46;1,000000000000000
CABILDO;Gonzalo Miquel Wenke;IND;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;1349;0,08344674007175554;16166;46;46;1,000000000000000
CABILDO;Piera Romina Collao Segura;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1036;0,06408511691203761;16166;46;46;1,000000000000000
CABILDO;Nelson Fernando Lazcano Silva;IND;CANDIDATURAS INDEPENDIENTES;Independiente;539;0,03334158109612768;16166;46;46;1,000000000000000
CABILDO;Nulo/Blanco;;NA;Otros;1075;0,06649758752938266;16166;46;46;1,000000000000000
CABO DE HORNOS(EX-NAVARINO);Patricio Fernández Alarcon;PDC;H - CONTIGO CHILE MEJOR;Centro;674;0,55933609958506225;1205;5;5;1,000000000000000
CABO DE HORNOS(EX-NAVARINO);Arturo Storaker Molina;UDI;Z - CHILE VAMOS;Derecha;207;0,17178423236514523;1205;5;5;1,000000000000000
CABO DE HORNOS(EX-NAVARINO);Carlos Alberto Soto Anguita;IND;CANDIDATURAS INDEPENDIENTES;Independiente;297;0,24647302904564317;1205;5;5;1,000000000000000
CABO DE HORNOS(EX-NAVARINO);Nulo/Blanco;;NA;Otros;27;0,02240663900414938;1205;5;5;1,000000000000000
CABRERO;Yusef Sabag Araneda;IND;CANDIDATURAS INDEPENDIENTES;Independiente;13541;0,55022348638764729;24610;69;69;1,000000000000000
CABRERO;Pablo Antonio Gierke Quevedo;IND;CANDIDATURAS INDEPENDIENTES;Independiente;8602;0,34953271028037386;24610;69;69;1,000000000000000
CABRERO;Daniel Eduardo Merino Gamonal;PDG;P - PARTIDO DE LA GENTE E INDEPENDIENTES;Derecha;1257;0,05107679804957335;24610;69;69;1,000000000000000
CABRERO;Nulo/Blanco;;NA;Otros;1210;0,04916700528240553;24610;69;69;1,000000000000000
CALAMA;Eliecer Daniel Chamorro Vargas;FREVS;H - CONTIGO CHILE MEJOR;Izquierda;51426;0,48596700119067870;105822;338;338;1,000000000000000
CALAMA;Daniel Agusto Perez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;15794;0,14925062841375139;105822;338;338;1,000000000000000
CALAMA;Carolina Paz Latorre Cruz;DEMOCRATAS;R - CENTRO DEMOCRATICO;Derecha;11788;0,11139460603655195;105822;338;338;1,000000000000000
CALAMA;Sergio Jorge Rodrigo Marmie Ibarrondo;PDG;P - PARTIDO DE LA GENTE E INDEPENDIENTES;Derecha;5374;0,05078339097730151;105822;338;338;1,000000000000000
CALAMA;Alejandra Oliden Vega;IND;CANDIDATURAS INDEPENDIENTES;Independiente;4961;0,04688061083706602;105822;338;338;1,000000000000000
CALAMA;Leslie Moll Vera;PSC;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Derecha;3773;0,03565421178960897;105822;338;338;1,000000000000000
CALAMA;Nulo/Blanco;;NA;Otros;12706;0,12006955075504148;105822;338;338;1,000000000000000
CALBUCO;Marco Andres Silva Maldonado;IND;CANDIDATURAS INDEPENDIENTES;Independiente;8464;0,30771468043335998;27506;88;88;1,000000000000000
CALBUCO;Juan Francisco Calbucoy Guerrero;IND;CANDIDATURAS INDEPENDIENTES;Independiente;5858;0,21297171526212463;27506;88;88;1,000000000000000
CALBUCO;Ruben Rolando Cardenas Gomez;PR;H - CONTIGO CHILE MEJOR;Izquierda;5220;0,18977677597615067;27506;88;88;1,000000000000000
CALBUCO;Sergio Garcia Alvarez;UDI;Z - CHILE VAMOS;Derecha;2533;0,09208899876390605;27506;88;88;1,000000000000000
CALBUCO;Lorena Ester Perez Toro;REP;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;2084;0,07576528757362030;27506;88;88;1,000000000000000
CALBUCO;Carlos Mansilla Gallardo;IND;CANDIDATURAS INDEPENDIENTES;Independiente;547;0,01988657020286483;27506;88;88;1,000000000000000
CALBUCO;Nulo/Blanco;;NA;Otros;2800;0,10179597178797353;27506;88;88;1,000000000000000
CALDERA;Brunilda Clementina Gonzalez Anjel;PPD;H - CONTIGO CHILE MEJOR;Centro;5823;0,41970592475133345;13874;42;42;1,000000000000000
CALDERA;Manuel Nanjari Contreras;IND;Z - CHILE VAMOS;Derecha;5658;0,40781317572437653;13874;42;42;1,000000000000000
CALDERA;Rebeca Ines Salinas Bernal;POPULAR;B - IZQUIERDA ECOLOGISTA POPULAR;Izquierda;1333;0,09607899668444572;13874;42;42;1,000000000000000
CALDERA;Jaime Del Carmen Hidalgo Cruz;AMARILLOS;R - CENTRO DEMOCRATICO;Centro;207;0,01491999423381865;13874;42;42;1,000000000000000
CALDERA;Nulo/Blanco;;NA;Otros;853;0,06148190860602566;13874;42;42;1,000000000000000
CALERA;Johnny Piraino Meneses;IND;H - CONTIGO CHILE MEJOR;Izquierda;26943;0,68876220665678201;39118;115;115;1,000000000000000
CALERA;Eduardo Ignacio Martínez Machuca;IND;CANDIDATURAS INDEPENDIENTES;Independiente;8797;0,22488368525998262;39118;115;115;1,000000000000000
CALERA;Nulo/Blanco;;NA;Otros;3378;0,08635410808323533;39118;115;115;1,000000000000000
CALERA DE TANGO;Hortensia Mora Catalan;UDI;Z - CHILE VAMOS;Derecha;9652;0,46927265655387007;20568;59;59;1,000000000000000
CALERA DE TANGO;Constanza Raquel Valenzuela Rocuant;IND;H - CONTIGO CHILE MEJOR;Izquierda;8136;0,39556592765460913;20568;59;59;1,000000000000000
CALERA DE TANGO;Marcelo Cepeda Rojas;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1265;0,06150330610657332;20568;59;59;1,000000000000000
CALERA DE TANGO;Nulo/Blanco;;NA;Otros;1515;0,07365810968494749;20568;59;59;1,000000000000000
CALLE LARGA;Dina Patricia Gonzalez Alfaro;PS;H - CONTIGO CHILE MEJOR;Izquierda;6501;0,57905050325109109;11227;32;32;1,000000000000000
CALLE LARGA;Héctor Rodrigo Silva Tapia;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1950;0,17368842967845372;11227;32;32;1,000000000000000
CALLE LARGA;Marcelo Castillo Varas;IND;Z - CHILE VAMOS;Derecha;1719;0,15311303108577537;11227;32;32;1,000000000000000
CALLE LARGA;Fresia Ruth Quezada Contreras;IND;CANDIDATURAS INDEPENDIENTES;Independiente;269;0,02396009619666874;11227;32;32;1,000000000000000
CALLE LARGA;Nulo/Blanco;;NA;Otros;788;0,07018793978801105;11227;32;32;1,000000000000000
CAMARONES;Cristian Zavala Soto;PDC;H - CONTIGO CHILE MEJOR;Centro;1662;0,79105188005711569;2101;8;8;1,000000000000000
CAMARONES;Nulo/Blanco;;NA;Otros;439;0,20894811994288434;2101;8;8;1,000000000000000
CAMIÑA;Evelyn Mamani Viza;IND;CANDIDATURAS INDEPENDIENTES;Independiente;997;0,41472545757071549;2404;8;8;1,000000000000000
CAMIÑA;Sandra Challapa Mamani;PSC;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Derecha;877;0,36480865224625625;2404;8;8;1,000000000000000
CAMIÑA;Monica Chamaca Castro;IND;Z - CHILE VAMOS;Derecha;489;0,20341098169717139;2404;8;8;1,000000000000000
CAMIÑA;Nulo/Blanco;;NA;Otros;41;0,01705490848585690;2404;8;8;1,000000000000000
CANELA;Waldo Enrique Contreras Cortes;IND;CANDIDATURAS INDEPENDIENTES;Independiente;3487;0,43155940594059405;8080;25;25;1,000000000000000
CANELA;Ruben Orlando Cortes Campusano;IND;CANDIDATURAS INDEPENDIENTES;Independiente;3084;0,38168316831683169;8080;25;25;1,000000000000000
CANELA;Manuel Angel Navarro Vega;PCCH;H - CONTIGO CHILE MEJOR;Izquierda;663;0,08205445544554456;8080;25;25;1,000000000000000
CANELA;Nestor Valle Tapia;IND;CANDIDATURAS INDEPENDIENTES;Independiente;540;0,06683168316831684;8080;25;25;1,000000000000000
CANELA;Nulo/Blanco;;NA;Otros;306;0,03787128712871287;8080;25;25;1,000000000000000
CARAHUE;Helmuth Martínez Llancapan;IND;CANDIDATURAS INDEPENDIENTES;Independiente;7143;0,36035717889214003;19822;63;63;1,000000000000000
CARAHUE;Alejandro Saez Veliz;IND;Z - CHILE VAMOS;Derecha;6888;0,34749268489557056;19822;63;63;1,000000000000000
CARAHUE;Jonnathan Hidalgo Quezada;PS;H - CONTIGO CHILE MEJOR;Izquierda;4910;0,24770457067904350;19822;63;63;1,000000000000000
CARAHUE;Nulo/Blanco;;NA;Otros;881;0,04444556553324589;19822;63;63;1,000000000000000
CARTAGENA;Lidia Silva Garcia;IND;Z - CHILE VAMOS;Derecha;5597;0,29352842458569328;19068;57;57;1,000000000000000
CARTAGENA;Osvaldo Cartagena Garcia;IND;CANDIDATURAS INDEPENDIENTES;Independiente;5159;0,27055800293685756;19068;57;57;1,000000000000000
CARTAGENA;Patricia Alejandra Quiroz Pehuenche;PPD;H - CONTIGO CHILE MEJOR;Centro;3835;0,20112229913992027;19068;57;57;1,000000000000000
CARTAGENA;Fany Alejandra Zuñiga Zuñiga;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1096;0,05747849800713237;19068;57;57;1,000000000000000
CARTAGENA;Cynthia Acuña Silva;PSC;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Derecha;657;0,03445563247325362;19068;57;57;1,000000000000000
CARTAGENA;Raul Eduardo Lorca Merino;DEMOCRATAS;R - CENTRO DEMOCRATICO;Derecha;449;0,02354730438430879;19068;57;57;1,000000000000000
CARTAGENA;Nulo/Blanco;;NA;Otros;2275;0,11930983847283406;19068;57;57;1,000000000000000
CASABLANCA;Rodrigo Martínez Roca;RN;Z - CHILE VAMOS;Derecha;11250;0,50657420749279536;22208;65;65;1,000000000000000
CASABLANCA;Francisco Javier Riquelme Lopez;FA;H - CONTIGO CHILE MEJOR;Izquierda;6345;0,28570785302593660;22208;65;65;1,000000000000000
CASABLANCA;Karen Antonieta Ordoñez Urzua;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1467;0,06605727665706052;22208;65;65;1,000000000000000
CASABLANCA;Marcelo Andres Pozo Cerda;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1331;0,05993335734870317;22208;65;65;1,000000000000000
CASABLANCA;Alexander Gabriel Aranguiz Meza;DEMOCRATAS;R - CENTRO DEMOCRATICO;Derecha;309;0,01391390489913545;22208;65;65;1,000000000000000
CASABLANCA;Nulo/Blanco;;NA;Otros;1506;0,06781340057636888;22208;65;65;1,000000000000000
CASTRO;Baltazar Elgueta Cheuquepil;PS;H - CONTIGO CHILE MEJOR;Izquierda;15256;0,44363023059699325;34389;110;110;1,000000000000000
CASTRO;Juan Eduardo Vera Sanhueza;IND;Z - CHILE VAMOS;Derecha;13976;0,40640902614208030;34389;110;110;1,000000000000000
CASTRO;Jaime Leonel Guerrero Sepulveda;IND;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Independiente;1673;0,04864927738521039;34389;110;110;1,000000000000000
CASTRO;Nulo/Blanco;;NA;Otros;3484;0,10131146587571607;34389;110;110;1,000000000000000
CATEMU;Rodrigo Eduardo Diaz Brito;IND;H - CONTIGO CHILE MEJOR;Izquierda;7249;0,63337702053298384;11445;33;33;1,000000000000000
CATEMU;Boris Luksic Nieto;IND;Z - CHILE VAMOS;Derecha;3557;0,31079073831367410;11445;33;33;1,000000000000000
CATEMU;Nulo/Blanco;;NA;Otros;639;0,05583224115334207;11445;33;33;1,000000000000000
CAUQUENES;Jorge Muñoz Saavedra;IND;Z - CHILE VAMOS;Derecha;19854;0,59029553428078729;33634;101;101;1,000000000000000
CAUQUENES;Nery Cristina Rodriguez Dominguez;IND;CANDIDATURAS INDEPENDIENTES;Independiente;8799;0,26161027531664388;33634;101;101;1,000000000000000
CAUQUENES;Ricardo Andres Verdugo Sepulveda;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2134;0,06344770173039187;33634;101;101;1,000000000000000
CAUQUENES;Alejandra Concha Urrutia;DEMOCRATAS;R - CENTRO DEMOCRATICO;Derecha;1021;0,03035618719153238;33634;101;101;1,000000000000000
CAUQUENES;Nulo/Blanco;;NA;Otros;1826;0,05429030148064459;33634;101;101;1,000000000000000
CAÑETE;Jorge Radonich Barra;RN;Z - CHILE VAMOS;Derecha;13443;0,51262202562538128;26224;77;77;1,000000000000000
